Community,County,State_abb
Mundytownship,Genesee ,MI
Columbuscity,Franklin ,OH
Haverhillcity,Essex ,MA
Commercecity,Los Angeles ,CA
Alpenacity,Alpena ,MI
Elizabethtowncity,Hardin ,KY
Oxnardcity,Ventura ,CA
Bellefontainecity,Logan ,OH
Winchestercity,Winchester City,VA
RichmondHeightscity,St. Louis ,MO
DanaPointcity,Orange ,CA
Houstoncity,Harris ,TX
Danverstown,Essex ,MA
Greenwoodcity,Leflore ,MS
ClevelandHeightscity,Cuyahoga ,OH
Cambridgecity,Middlesex ,MA
Dunkirkcity,Chautauqua ,NY
NorthHuntingdontownship,Westmoreland ,PA
NewBritaintown,Hartford ,CT
Springvillecity,Utah ,UT
Athenscity,Athens ,OH
VestaviaHillscity,Jefferson ,AL
Hilltowntownship,Butler ,PA
Baltimorecity,Baltimore City,MD
ElCerritocity,Contra Costa ,CA
Watertowncity,Jefferson ,WI
Elgincity,Kane ,IL
McAllencity,Hidalgo ,TX
Olympiacity,Thurston ,WA
Fairfieldtown,Fairfield ,CT
Ringwoodborough,Passaic ,NJ
NorthLauderdalecity,Broward ,FL
NewBraunfelscity,Comal ,TX
YorbaLindacity,Orange ,CA
Bloomfieldtownship,Essex ,NJ
LauderdaleLakescity,Broward ,FL
Winonacity,Winona ,MN
HoffmanEstatesvillage,Cook ,IL
GooseCreekcity,Berkeley ,SC
Medfordcity,Jackson ,OR
PinellasParkcity,Pinellas ,FL
Bethanycity,Oklahoma ,OK
Mustangcity,Canadian ,OK
Secaucustown,Hudson ,NJ
Comptoncity,Los Angeles ,CA
Salisburycity,Rowan ,NC
Lawrencecity,Marion ,IN
Trentoncity,Wayne ,MI
Salisburycity,Wicomico ,MD
LakeCitycity,Columbia ,FL
CapeGirardeaucity,Cape Girardeau ,MO
McMinnvillecity,Yamhill ,TN
OakHarborcity,Island ,WA
Cinnaminsontownship,Burlington ,NJ
Lakewoodcity,Los Angeles ,CA
GrossePointeFarmscity,Wayne ,MI
TwoRiverscity,Manitowoc ,WI
Claytoncity,St. Louis ,MO
Romecity,Floyd ,GA
Altoonacity,Blair ,PA
Atascaderocity,San Luis Obispo ,CA
VadnaisHeightscity,Ramsey ,MN
MountClemenscity,Macomb ,MI
Burlesoncity,Johnson ,TX
Hoovercity,Jefferson ,AL
Lawrencetownship,Mercer ,NJ
Readingtown,Middlesex ,MA
Brigantinecity,Atlantic ,NJ
Dracuttown,Middlesex ,MA
Brenhamcity,Washington ,TX
Woonsocketcity,Providence ,RI
Pinolecity,Contra Costa ,CA
HighlandParkborough,Middlesex ,NJ
Cleburnecity,Johnson ,TX
Memphiscity,Shelby ,TN
Middletowntown,Newport ,RI
Durantcity,Bryan ,OK
Stillwatercity,Payne ,OK
HermosaBeachcity,Los Angeles ,CA
Reidsvillecity,Rockingham ,NC
Grandvillecity,Kent ,MI
CoosBaycity,Coos ,OR
Peoriacity,Maricopa ,AZ
LaPortecity,LaPorte ,IN
Strongsvillecity,Cuyahoga ,OH
Ipswichtown,Essex ,MA
Lansingcity,Ingham ,MI
Randolphtown,Norfolk ,MA
PortArthurcity,Jefferson ,TX
Tuskegeecity,Macon ,AL
Roswellcity,Fulton ,GA
Conneautcity,Ashtabula ,OH
Naplescity,Collier ,FL
WiltonManorscity,Broward ,FL
Homesteadcity,Miami-Dade ,FL
Ridgecrestcity,Kern ,CA
Westminstercity,Adams ,CO
Pharrcity,Hidalgo ,TX
McAlestercity,Pittsburg ,OK
Fairmontcity,Martin ,MN
Riverviewcity,Wayne ,MI
SantaMariacity,Santa Barbara ,CA
Independencecity,Jackson ,MO
Morgantoncity,Burke ,NC
Sylvaniatownship,Lucas ,OH
GroverCitycity,San Luis Obispo ,CA
Lewistoncity,Nez Perce ,ID
Delrantownship,Burlington ,NJ
JeffersonCitycity,Cole ,MO
Jacksoncity,Jackson ,MI
Libertytownship,Butler ,OH
Whittiercity,Los Angeles ,CA
Medfieldtown,Norfolk ,MA
MuskegonHeightscity,Muskegon ,MI
Auburncity,Placer ,CA
Irvinecity,Orange ,CA
Watervillecity,Kennebec ,ME
PerthAmboycity,Middlesex ,NJ
Neenahcity,Winnebago ,WI
SimiValleycity,Ventura ,CA
BuffaloGrovevillage,Cook ,IL
Ballwincity,St. Louis ,MO
Pittsfieldcity,Berkshire ,MA
MountHollytownship,Burlington ,NJ
Hillsidetownship,Union ,NJ
Sylvaniacity,Lucas ,OH
NorthArlingtonborough,Bergen ,NJ
Kearnytown,Hudson ,NJ
Summitcity,Union ,NJ
PeachtreeCitycity,Fayette ,GA
Gloucestertownship,Camden ,NJ
Bryancity,Brazos ,TX
Tahlequahcity,Cherokee ,OK
LaCanadaFlintridgecity,Los Angeles ,CA
Maplewoodtownship,Essex ,NJ
PoncaCitycity,Kay ,OK
Graftontown,Worcester ,MA
Dublincity,Laurens ,GA
Belmonttown,Middlesex ,MA
Cumberlandtown,Providence ,RI
DesMoinescity,Polk ,IA
Fairborncity,Greene ,OH
Southfieldcity,Oakland ,MI
Seymourtown,New Haven ,CT
WestHartfordtown,Hartford ,CT
NewBrightoncity,Ramsey ,MN
Sheridancity,Sheridan ,WY
Crystalcity,Hennepin ,MN
Hesperiacity,San Bernardino ,CA
Laramiecity,Albany ,WY
Eustiscity,Lake ,FL
Readingcity,Hamilton ,OH
Shakopeecity,Scott ,MN
Hartsellecity,Morgan ,AL
Edencity,Rockingham ,NC
LaHabracity,Orange ,CA
Adacity,Stephens ,OK
Oaklandborough,Bergen ,NJ
Portervillecity,Tulare ,CA
Pasadenacity,Los Angeles ,CA
NewCastlecity,Lawrence ,PA
Northportcity,Tuscaloosa ,AL
WestManchestertownship,York ,PA
BeaverFallscity,Beaver ,PA
Fultoncity,Callaway ,MO
DeLandcity,Volusia ,FL
Covingtoncity,Kenton ,KY
Brookingscity,Brookings ,SD
SandSpringscity,Tulsa ,OK
IdahoFallscity,Bonneville ,ID
Mesacity,Maricopa ,AZ
Westboroughtown,Worcester ,MA
Bridgeporttownship,Saginaw ,MI
Woodhavencity,Wayne ,MI
ApacheJunctioncity,Pinal ,AZ
SouthSanFranciscodivision,San Mateo ,CA
Maynardtown,Middlesex ,MA
Lumbertoncity,Robeson ,NC
WebsterGrovescity,St. Louis ,MO
Hamptoncity,Hampton City,VA
Newtoncity,Jasper ,IA
Alexandriacity,Rapides Parish,LA
Taylorcity,Wayne ,MI
Moundsvillecity,Marshall ,WV
Anchoragecity,Anchorage Municipality,AK
Irvingcity,Dallas ,TX
SaratogaSpringscity,Saratoga ,NY
Bedfordtown,Hillsborough ,NH
Muskogeecity,Muskogee ,OK
Jacksontownship,Stark ,OH
Texarkanacity,"Miller  (AR), Bowie  (TX)","AR, TX"
CedarGrovetownship,Ocean ,NJ
Germantowncity,Shelby ,TN
PanamaCitycity,Bay ,FL
AtlanticCitycity,Atlantic ,NJ
Tustincity,Orange ,CA
Atwatercity,Merced ,CA
Lansdowneborough,Delaware ,PA
EastLampetertownship,Lancaster ,PA
BayCitycity,Bay ,MI
KlamathFallscity,Klamath ,OR
NorthSmithfieldtown,Providence ,RI
Salemtown,Rockingham ,NH
Woodburncity,Marion ,OR
NationalCitycity,San Diego ,CA
Clintontown,Middlesex ,CT
AmericanForkcity,Utah ,UT
Livermorecity,Alameda ,CA
Franklincity,Warren ,OH
Somersettown,Hampden ,MA
Hemetcity,Riverside ,CA
Murfreesborocity,Rutherford ,TN
Evanstoncity,Cook ,IL
RiverRougecity,Wayne ,MI
Atholtown,Worcester ,MA
Littletoncity,Arapahoe ,CO
Homewoodvillage,Cook ,IL
Jacksontownship,Ocean ,NJ
HarkerHeightscity,Bell ,TX
Tullahomacity,Coffee ,TN
Belmontcity,San Mateo ,CA
Waynetownship,Passaic ,NJ
Fairfieldcity,Solano ,CA
Covingtoncity,Newton ,GA
Tivertontown,Newport ,RI
Stowcity,Summit ,OH
Hackensackcity,Bergen ,NJ
Pearlandcity,Brazoria ,TX
Montgomerytownship,Montgomery ,PA
Kannapoliscity,Cabarrus ,NC
Fresnocity,Fresno ,CA
Brownsvillecity,Cameron ,TX
SulphurSpringscity,Hopkins ,TX
Fullertoncity,Orange ,CA
Centraliacity,Lewis ,WA
NorthHaventown,New Haven ,CT
Allentowncity,Lehigh ,PA
PointPleasantborough,Ocean ,NJ
Warrentownship,Somerset ,NJ
Asheborocity,Randolph ,NC
Clarksburgcity,Harrison ,WV
Walnutcity,Los Angeles ,CA
Garycity,Lake ,IN
Hammondcity,Lake ,IN
Dennistown,Worcester ,MA
NorthCantoncity,Stark ,OH
McMinnvillecity,Yamhill ,OR
FortPiercecity,St. Lucie ,FL
MasonCitycity,Cerro Gordo ,IA
Peabodycity,Essex ,MA
Benbrookcity,Tarrant ,TX
Brownwoodcity,Brown ,TX
Lebanoncity,Lebanon ,PA
SouthHoustoncity,Harris ,TX
Kingsvillecity,Kleberg ,TX
Kentwoodcity,Kent ,MI
Butlercity,Butler ,PA
Laceytownship,Ocean ,NJ
Ansoniatown,New Haven ,CT
EastGreenwichtown,Kent ,RI
Sharonvillecity,Hamilton ,OH
Greenvillecity,Darke ,OH
Tempecity,Maricopa ,AZ
Sanfordcity,Lee ,NC
Williamsburgcity,James City ,VA
Wickliffecity,Lake ,OH
Smyrnacity,Cobb ,GA
CrownPointcity,Lake ,IN
Hanahancity,Berkeley ,SC
Haverfordtownship,Delaware ,PA
LongBranchcity,Monmouth ,NJ
Humblecity,Harris ,TX
Suffieldtown,Hartford ,CT
Bettendorfcity,Scott ,IA
LaCrossecity,La Crosse ,WI
Hobartcity,Lake ,IN
Albemarlecity,Stanly ,NC
RoyalOakcity,Oakland ,MI
Newportcity,Campbell ,KY
DeerfieldBeachcity,Broward ,FL
Christiansburgtown,Montgomery ,VA
VeroBeachcity,Indian River ,FL
WestPatersonborough,Passaic ,NJ
Sherwoodcity,Pulaski ,AR
Shoreviewcity,Ramsey ,MN
Louisvillecity,Jefferson ,KY
Needhamtown,Norfolk ,MA
Jacksonvillecity,Cherokee ,TX
Limacity,Allen ,OH
Charlestoncity,Charleston ,SC
Westporttown,Fairfield ,CT
Portlandcity,Cumberland ,ME
Bucyruscity,Crawford ,OH
Owensborocity,Daviess ,KY
Broomfieldcity,Broomfield ,CO
Dovertown,Morris ,NJ
Ashlandcity,Ashland ,OH
FergusFallscity,Otter Tail ,MN
ForestGrovecity,Washington ,OR
Durhamcity,Durham ,NC
Wiltontown,Fairfield ,CT
Mantuatownship,Gloucester ,NJ
MountPleasantcity,Titus ,TX
MorganHillcity,Santa Clara ,CA
AppleValleytown,San Bernardino ,CA
CasaGrandecity,Pinal ,AZ
Aberdeencity,Brown ,SD
Farmingtontown,Hartford ,CT
Eveshamtownship,Burlington ,NJ
Ashwaubenonvillage,Brown ,WI
SouthKingstowntown,Washington ,RI
Stamfordtown,Fairfield ,CT
Masoncity,Warren ,OH
Kennewickcity,Benton ,WA
MoundsViewcity,Ramsey ,MN
Haddonfieldborough,Camden ,NJ
Robbinsdalecity,Hennepin ,MN
Norwalktown,Fairfield ,CT
Cincinnaticity,Hamilton ,OH
Bridgewatertown,Plymouth ,MA
Lockportcity,Niagara ,NY
Kalamazootownship,Kalamazoo ,MI
Paducahcity,McCracken ,KY
WindsorLockstown,Hartford ,CT
LasVegascity,Clark ,NV
Belchertowntown,Hampshire ,MA
Corcorancity,Kings ,CA
RoselleParkborough,Union ,NJ
Bedfordtown,Middlesex ,MA
Maconcity,Bibb ,GA
EastHamptontown,Middlesex ,CT
BrooklynCentercity,Hennepin ,MN
Blythevillecity,Mississippi ,AR
Uvaldecity,Uvalde ,TX
CathedralCitycity,Riverside ,CA
NorthOgdencity,Weber ,UT
Mariettacity,Cobb ,GA
Lowertownship,Cape May ,NJ
Morristowntown,Morris ,NJ
Chillicothecity,Ross ,OH
Vincennescity,Knox ,IN
Demingcity,Luna ,NM
Waterfordtownship,Camden ,NJ
Chelmsfordtown,Middlesex ,MA
Wilmingtoncity,New Hanover ,NC
Lubbockcity,Lubbock ,TX
Vinelandcity,Cumberland ,NJ
Brocktoncity,Plymouth ,MA
Dovertownship,Ocean ,NJ
Dunedincity,Pinellas ,FL
Novatocity,Marin ,CA
Delhitownship,Delaware ,OH
Orlandocity,Orange ,FL
Cerritoscity,Los Angeles ,CA
Hillsboroughtownship,Somerset ,NJ
Cartersvillecity,Bartow ,GA
CliffsideParkborough,Bergen ,NJ
Miamicity,Ottawa ,OK
Oronotown,Penobscot ,ME
Palatinevillage,Cook ,IL
Largocity,Pinellas ,FL
DearbornHeightscity,Wayne ,MI
Schenectadycity,Schenectady ,NY
Schaumburgvillage,Cook ,IL
Piedmontcity,Alameda ,CA
Hattiesburgcity,Forrest ,MS
Longmeadowtown,Hampden ,MA
Oaklandcity,Alameda ,CA
FairLawnborough,Bergen ,NJ
LowerPaxtontownship,Dauphin ,PA
Bangorcity,Penobscot ,ME
ParkRidgecity,Cook ,IL
FarmersBranchcity,Dallas ,TX
Montvilletownship,Morris ,NJ
Towamencintownship,Montgomery ,PA
Shelbytownship,Macomb ,MI
DaytonaBeachcity,Volusia ,FL
SouthHadleytown,Hampshire ,MA
Springdalecity,Washington ,AR
Mercedescity,Hidalgo ,TX
Uticacity,Oneida ,NY
CedarHillcity,Dallas ,TX
TexasCitycity,Galveston ,TX
WestCovinacity,Los Angeles ,CA
Pleasantoncity,Alameda ,CA
EastGrandRapidscity,Kent ,MI
Norwalkcity,Huron ,OH
Hamiltoncity,Butler ,OH
Harwichtown,Barnstable ,MA
Jeffersontowncity,Jefferson ,KY
Bainbridgecity,Decatur ,GA
MenloParkcity,San Mateo ,CA
Flagstaffcity,Coconino ,AZ
Kilgorecity,Gregg ,TX
Glassboroborough,Gloucester ,NJ
SanJuancity,Hidalgo ,TX
Swampscotttown,Essex ,MA
LosGatostown,Santa Clara ,CA
CreveCoeurcity,St. Louis ,MO
Denisoncity,Grayson ,TX
Bakersfieldcity,Kern ,CA
TheVillagecity,Oklahoma ,OK
Albanycity,Albany ,NY
Newarkcity,Essex ,NJ
EastOrangecity,Essex ,NJ
Ogdencity,Weber ,UT
Petersburgcity,Petersburg city,VA
Baytowncity,Harris ,TX
Eugenecity,Lane ,OR
Providencecity,Providence ,RI
NorthLittleRockcity,Pulaski ,AR
Metuchenborough,Middlesex ,NJ
Warrentown,Washington ,RI
Kentcity,Portage ,OH
Cypresscity,Orange ,CA
Yukoncity,Canadian ,OK
Lislevillage,DuPage ,IL
ChapelHilltown,Orange ,NC
Bedfordcity,Lawrence ,IN
Mauldincity,Greenville ,SC
Kentcity,King ,WA
Waynesborocity,Waynesboro city,VA
Westfieldcity,Hampden ,MA
Bountifulcity,Davis ,UT
Cadillaccity,Wexford ,MI
Arlingtontown,Middlesex ,MA
PaloAltocity,Santa Clara ,CA
Spartatownship,Sussex ,NJ
Stratfordtown,Fairfield ,CT
DeerParkcity,Harris ,TX
ArlingtonHeightsvillage,Cook ,IL
Hazelwoodcity,St. Louis ,MO
NewHopecity,Hennepin ,MN
Newberrytownship,York ,PA
SouthElMontecity,Los Angeles ,CA
Stephenvillecity,Erath ,TX
Cudahycity,Los Angeles ,CA
Lincolntownship,Macomb ,MI
Albanycity,Alameda ,CA
Ewingtownship,Mercer ,NJ
FortThomascity,Campbell ,KY
LaMiradacity,Los Angeles ,CA
Swataratownship,Dauphin ,PA
Totowaborough,Passaic ,NJ
WestCaldwelltownship,Essex ,NJ
Coventrytown,Kent ,RI
CalumetCitycity,Cook ,IL
Troycity,Oakland ,MI
Danvillecity,Contra Costa ,CA
Waycrosscity,Ware ,GA
Centervillecity,Montgomery ,OH
Rostravertownship,Washington ,PA
Ryecity,Westchester ,NY
Lyndhursttownship,Bergen ,NJ
Somervillecity,Middlesex ,MA
Sheltontown,Fairfield ,CT
NorthBergentownship,Bergen ,NJ
Columbuscity,Muscogee ,GA
MortonGrovevillage,Cook ,IL
TwinFallscity,Twin Falls ,ID
Minnetonkacity,Hennepin ,MN
EastProvidencecity,Providence ,RI
Cohoescity,Albany ,NY
GlensFallscity,Warren ,NY
Dyersburgcity,Dyer ,TN
Cromwelltown,Middlesex ,CT
Bloomfieldtownship,Oakland ,MI
Cranstoncity,Providence ,RI
Marshallcity,Harrison ,TX
CoralGablescity,Miami-Dade ,FL
Hagerstowncity,Washington ,MD
Vernontown,Tolland ,CT
Killeencity,Bell ,TX
Morgantowncity,Monongalia ,WV
Athenscity,McMinn ,TN
Clintontownship,Macomb ,MI
Hamdentown,New Haven ,CT
Friendswoodcity,Galveston ,TX
SanGabrielcity,Los Angeles ,CA
SanLuisObispocity,San Luis Obispo ,CA
Bedfordcity,Tarrant ,TX
Lakevillecity,Dakota ,MN
Marshfieldcity,Wood ,WI
BigRapidscity,Mecosta ,MI
Grovescity,Jefferson ,TX
Longviewcity,Gregg ,TX
Norfolkcity,Norfolk city,VA
Birminghamcity,Jefferson ,AL
McCombcity,Pike ,MS
RoundRockcity,Williamson ,TX
Bridgeporttown,Fairfield ,CT
Onalaskacity,La Crosse ,WI
Northvilletownship,Wayne ,MI
Lincolnwoodvillage,Cook ,IL
Lawrencevillecity,Gwinnett ,GA
SouthBurlingtoncity,Chittenden ,VT
Indianolacity,Warren ,IA
MountPleasanttown,Charleston ,SC
AlbertLeacity,Freeborn ,MN
Hendersoncity,Rusk ,TX
LakeWorthcity,Palm Beach ,FL
Bethlehemtownship,Northampton ,PA
MichiganCitycity,LaPorte ,IN
Kenoshacity,Kenosha ,WI
WestWindsortownship,Mercer ,NJ
SantaBarbaracity,Santa Barbara ,CA
Harveycity,Cook ,IL
Danvillecity,Danville city,VA
Logansportcity,Cass ,IN
Moorparkcity,Ventura ,CA
RedBankcity,Hamilton ,TN
Augustacity,Richmond ,GA
Bartletttown,Shelby ,TN
Goshentown,Orange ,NY
WestOrangetownship,Essex ,NJ
Redmondcity,King ,WA
Madisonborough,Morris ,NJ
Brooklinetown,Norfolk ,MA
Scituatetown,Plymouth ,MA
LaGrangecity,Troup ,GA
BellGardenscity,Los Angeles ,CA
Lufkincity,Angelina ,TX
EastWindsortownship,Mercer ,NJ
Hutchinsoncity,McLeod ,MN
Bothellcity,King ,WA
Kirkwoodcity,St. Louis ,MO
FountainValleycity,Orange ,CA
Franklincity,Williamson ,TN
Martinsburgcity,Berkeley ,WV
Bartowcity,Polk ,FL
Kingstonborough,Luzerne ,PA
Tiftoncity,Tift ,GA
Gilroycity,Santa Clara ,CA
Bristolborough,Bucks ,PA
Margatecity,Broward ,FL
Muskegoncity,Muskegon ,MI
Caldwellcity,Canyon ,ID
FortLeeborough,Bergen ,NJ
Summittownship,Jackson ,MI
NorthRichlandHillscity,Tarrant ,TX
Wataugacity,Tarrant ,TX
Gloucestercity,Essex ,MA
FortWaynecity,Allen ,IN
PriorLakecity,Scott ,MN
Claremontcity,Los Angeles ,CA
Brooklyncity,Cuyahoga ,OH
Murraycity,Salt Lake ,UT
Jacksonvillecity,Pulaski ,AR
Torringtontown,Litchfield ,CT
OceanSpringscity,Jackson ,MS
BrokenArrowcity,Tulsa ,OK
MountMorristownship,Morris ,MI
Cantoncity,Stark ,OH
Amherstcity,Lorain ,OH
SierraMadrecity,Los Angeles ,CA
Kennercity,Jefferson Parish,LA
Bouldercity,Boulder ,CO
MiamiSpringscity,Miami-Dade ,FL
UpperAllentownship,Lehigh ,PA
Sangercity,Fresno ,CA
Enterprisecity,Coffee ,AL
Portagecity,Porter ,IN
PleasantHillcity,Contra Costa ,CA
Hinesvillecity,Liberty ,GA
Juneaucity,Juneau city and borough,AK
Pottsvillecity,Schuylkill ,PA
ElCentrocity,Imperial ,CA
Boonecity,Boone ,IA
Garlandcity,Dallas ,TX
Janesvillecity,Rock ,WI
WestGoshentownship,Westmoreland ,PA
Ashevillecity,Buncombe ,NC
Winchestercity,Clark ,KY
Angletoncity,Brazoria ,TX
Carmelcity,Hamilton ,IN
Pacificacity,San Mateo ,CA
Wyandottecity,Wayne ,MI
Wolcotttown,New Haven ,CT
BeechGrovecity,Madison ,IN
Huntingtoncity,Cabell ,WV
Bellevilletownship,Essex ,NJ
Georgetowncity,Scott ,KY
Youngstowncity,Mahoning ,OH
Cheyennecity,Laramie ,WY
SouthWindsortown,Hartford ,CT
Connersvillecity,Fayette ,IN
Spencercity,Clay ,IA
Phillipsburgtown,Warren ,NJ
GarfieldHeightscity,Cuyahoga ,OH
Lindenwoldborough,Camden ,NJ
Roselleborough,Union ,NJ
FrontRoyaltown,Warren ,VA
Minneapoliscity,Hennepin ,MN
Moorheadcity,Clay ,MN
WhitefishBayvillage,Milwaukee ,WI
Auburncity,Lee ,AL
Pleasantvillecity,Atlantic ,NJ
Columbiacity,Maury ,TN
Grahamcity,Alamance ,NC
Burlingtoncity,Chittenden ,VT
Lompoccity,Santa Barbara ,CA
Gardenacity,Los Angeles ,CA
SanRamoncity,Contra Costa ,CA
Monroecity,Ouachita Parish,LA
Cookevillecity,Putnam ,TN
Orangecity,Orange ,TX
Palmdalecity,Los Angeles ,CA
Bellcity,Los Angeles ,CA
Bridgetoncity,Cumberland ,NJ
LowerSalfordtownship,Montgomery ,PA
Oceansidecity,San Diego ,CA
ForrestCitycity,St. Francis ,AR
Shawneecity,Pottawatomie ,OK
Tracycity,San Joaquin ,CA
UniversityCitycity,St. Louis ,MO
Boonetown,Watauga ,NC
Lawrencecity,Essex ,MA
Middletowncity,Orange ,NY
Eulesscity,Tarrant ,TX
SanDiegocity,San Diego ,CA
Marshallcity,Saline ,MO
Logantownship,Clinton ,PA
Grandviewcity,Jackson ,MO
SanAntoniocity,Bexar ,TX
Chicagocity,Cook ,IL
GrandHavencity,Ottawa ,MI
Plainfieldtown,Windham ,CT
SantaRosacity,Sonoma ,CA
Placentiacity,Orange ,CA
Brookfieldcity,Waukesha ,WI
DeWitttownship,Clinton ,MI
LaMarquecity,Galveston ,TX
EastChicagocity,Lake ,IN
Texarkanacity,Bowie ,TX
BuenaParkcity,Orange ,CA
NorthMankatocity,Nicollet ,MN
PuntaGordacity,Charlotte ,FL
Oskaloosacity,Mahaska ,IA
EaglePasscity,Maverick ,TX
Richmondcity,Richmond city,VA
Uniontownship,Union ,NJ
Woodburycity,Washington ,MN
Westlandcity,Wayne ,MI
MountPleasanttown,Racine ,WI
PortNechescity,Jefferson ,TX
GoldenValleycity,Hennepin ,MN
SouthWhitehalltownship,Lehigh ,PA
Duartecity,Los Angeles ,CA
Canyoncity,Randall ,TX
WestColumbiacity,Lexington ,SC
Livingstontownship,Essex ,NJ
Warringtontownship,Bucks ,PA
PleasantGrovecity,Utah ,UT
BoulderCitycity,Clark ,NV
Syracusecity,Onondaga ,NY
Cupertinocity,Santa Clara ,CA
Turlockcity,Stanislaus ,CA
Passaiccity,Passaic ,NJ
FortAtkinsoncity,Jefferson ,WI
Concordcity,Contra Costa ,CA
Hartfordtown,Hartford ,CT
Cumrutownship,Chester ,PA
Danvillecity,Boyle ,KY
Auroracity,Arapahoe ,CO
Cheshiretown,New Haven ,CT
Birminghamcity,Oakland ,MI
WestHempfieldtownship,Westmoreland ,PA
NorthPalmBeachvillage,Palm Beach ,FL
TwentyninePalms-MorongoValle,San Bernardino ,CA
MountainBrookcity,Jefferson ,AL
Stuttgartcity,Arkansas ,AR
Conwaycity,Faulkner ,AR
HazelParkcity,Oakland ,MI
Waterburytown,New Haven ,CT
Westwoodborough,Bergen ,NJ
Caledoniatown,Racine ,WI
Watertowntown,New London ,CT
Aikencity,Aiken ,SC
Saralandcity,Mobile ,AL
Walltownship,Monmouth ,NJ
Rocklincity,Placer ,CA
Albanycity,Linn ,OR
Mentorcity,Lake ,OH
Millvillecity,Cumberland ,NJ
Tacomacity,Pierce ,WA
Hollistontown,Middlesex ,MA
Jonesborocity,Craighead ,AR
Lauderhillcity,Broward ,FL
Hampdentownship,Cumberland ,PA
Minotcity,Ward ,ND
Jaspercity,Walker ,AL
WestDesMoinescity,Polk ,IA
Somervilleborough,Somerset ,NJ
Willmarcity,Kandiyohi ,MN
Englewoodcity,Arapahoe ,CO
Edisontownship,Middlesex ,NJ
SouthDaytonacity,Volusia ,FL
Paramusborough,Bergen ,NJ
Sudburytown,Middlesex ,MA
Lovelandcity,Larimer ,CO
Brunswicktown,Cumberland ,ME
PresqueIslecity,Aroostook ,ME
Chanhassencity,Carver ,MN
SuisunCitycity,Solano ,CA
NorthProvidencetown,Providence ,RI
Carlisleborough,Cumberland ,PA
Bensalemtownship,Bucks ,PA
Haywardcity,Alameda ,CA
CedarFallscity,Black Hawk ,IA
SouthPlainfieldborough,Middlesex ,NJ
Wheelingvillage,Cook ,IL
Nanticokecity,Luzerne ,PA
Hopkinscity,Hennepin ,MN
SouthRiverborough,Middlesex ,NJ
Marlborotownship,Monmouth ,NJ
Poughkeepsiecity,Dutchess ,NY
HainesCitycity,Polk ,FL
SantaPaulacity,Ventura ,CA
Rentoncity,King ,WA
Portsmouthtown,Newport ,RI
ElizabethCitycity,Pasquotank ,NC
Walthamcity,Middlesex ,MA
Southingtontown,Hartford ,CT
Monroviacity,Los Angeles ,CA
WinterHavencity,Polk ,FL
EastPointcity,Fulton ,GA
Beaumontcity,Jefferson ,TX
Centervillecity,Davis ,UT
EastHartfordtown,Hartford ,CT
Jaspercity,Dubois ,IN
TintonFallsborough,Monmouth ,NJ
FortPaynecity,DeKalb ,AL
Palestinecity,Anderson ,TX
Noblesvillecity,Hamilton ,IN
Dixoncity,Solano ,CA
Marysvillecity,Yuba ,CA
WhiteBearLakecity,Ramsey ,MN
Wadsworthcity,Medina ,OH
Milwaukeecity,Milwaukee ,WI
Kissimmeecity,Osceola ,FL
Carthagecity,Jasper ,MO
Artesiacity,Eddy ,NM
ManhattanBeachcity,Los Angeles ,CA
Tamaraccity,Broward ,FL
Muskegontownship,Muskegon ,MI
Merrimacktown,Hillsborough ,NH
RoyalPalmBeachvillage,Palm Beach ,FL
Stauntoncity,Augusta ,VA
Rochestercity,Olmsted ,MN
Freeholdtownship,Monmouth ,NJ
Clawsoncity,Oakland ,MI
Marinettecity,Marinette ,WI
Fremontcity,Alameda ,CA
Carytown,Wake ,NC
MountPleasantcity,Isabella ,MI
Fairviewborough,Bergen ,NJ
SouthBrunswicktownship,Middlesex ,NJ
Trentoncity,Mercer ,NJ
PalmSpringscity,Riverside ,CA
Galesburgcity,Knox ,IL
Mantecacity,San Joaquin ,CA
MenomoneeFallsvillage,Waukesha ,WI
Cloquetcity,Carlton ,MN
Vermillioncity,Clay ,SD
Fairfieldcity,Jefferson ,AL
Westporttown,Bristol ,MA
Montclaircity,San Bernardino ,CA
Vandaliacity,Montgomery ,OH
Fillmorecity,Ventura ,CA
Bentonvillecity,Benton ,AR
WestSpringfieldtown,Hampden ,MA
Washingtoncity,District of Columbia,DC
Antiochcity,Contra Costa ,CA
Bismarckcity,Burleigh ,ND
Hopewelltownship,Mercer ,NJ
Miamisburgcity,Montgomery ,OH
Ozarkcity,Dale ,AL
WestJordancity,Salt Lake ,UT
Rahwaycity,Union ,NJ
RedBankborough,Monmouth ,NJ
Morristownship,Morris ,NJ
SanMateocity,San Mateo ,CA
Bedfordtownship,Monroe ,MI
Annistoncity,Calhoun ,AL
Leominstercity,Worcester ,MA
Easleycity,Pickens ,SC
GlenRockborough,Bergen ,NJ
Watertowntown,Middlesex ,MA
Freeholdborough,Monmouth ,NJ
Daviscity,Yolo ,CA
Darientown,Fairfield ,CT
Crowleycity,Acadia Parish,LA
Lynwoodcity,Los Angeles ,CA
Berkeleycity,Alameda ,CA
Cambridgecity,Dorchester ,MD
Atlantacity,Fulton ,GA
Blainecity,Anoka ,MN
Gilberttown,Maricopa ,AZ
Burlingtontownship,Burlington ,NJ
NewBedfordcity,Bristol ,MA
Perkinstownship,Delaware ,OH
Ontariocity,San Bernardino ,CA
